,,Zig,,,,,,,,Go,,,,,,,,Rust,,,,,,,,Control,,,,,,,,All Averages,,,
,cache-misses,8017,8819,8857,8888,8178,8017,8888,8551.8,8896,10493,8912,8373,8838,8373,10493,9102.4,8061,8000,8835,8882,8742,8000,8882,8504,,,,,,,,,cache-misses,8551.8,9102.4,8504
,branches,196577,212794,199092,200197,197787,196577,212794,201289.4,200431,205992,202328,201327,201896,200431,205992,202394.8,196381,197359,197930,199996,194921,194921,199996,197317.4,,,,,,,,,branches,201289.4,202394.8,197317.4
,branch-misses,10037,11221,11632,12198,11986,10037,12198,11414.8,12411,10775,10894,11517,11981,10775,12411,11515.6,11214,11174,11682,11460,11000,11000,11682,11306,,,,,,,,,branch-misses,11414.8,11515.6,11306
,page-faults,23,22,22,23,22,22,23,22.4,30,30,29,30,30,29,30,29.8,22,23,22,22,23,22,23,22.4,,,,,,,,,page-faults,22.4,29.8,22.4
,context-switches,4,2,4,3,3,2,4,3.2,3,2,3,2,1,1,3,2.2,2,2,4,1,1,1,4,2,,,,,,,,,context-switches,3.2,2.2,2
,cpu-migrations,0,0,0,1,0,0,1,0.2,0,1,1,1,0,0,1,0.6,0,0,0,0,0,0,0,0,,,,,,,,,cpu-migrations,0.2,0.6,0
,LLC-load-misses,9295,7619,8202,10446,7760,7619,10446,8664.4,11551,12696,9899,11212,11152,9899,12696,11302,7284,6578,7983,8416,6901,6578,8416,7432.4,,,,,,,,,LLC-load-misses,8664.4,11302,7432.4
,time elapsed (s),80.08144965,81.08371257,81.08589106,81.08501094,80.08737011,80.08144965,81.08589106,80.68468687,133.0868059,134.0819345,134.0779214,134.0880469,134.0746834,133.0868059,134.0880469,133.8818784,83.08604636,81.1099874,83.09101395,80.09317873,80.08129462,80.08129462,83.09101395,81.49230421,,,,,,,,,time elapsed (s),80.68468687,133.8818784,81.49230421
,dnsperf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dnsperf,,,
,Queries sent,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,,,,,,,,,Queries sent,5000000,5000000,5000000
